statement_id|date|chunk|chunk_id|chunk_percentile|label|prob
0|1998-06-09|Ladies and gentlemen, I am here today to report on the outcome of the first meetings of the three decision-making bodies of the ECB: the General Council; the Governing Council; and, the Executive Board; all of which, in accordance with the ESCB/ECB Statute, are chaired by me, as President of the ECB, or, in my absence, by the Vice-President, who is sitting next to me.|0|0.0|OTHER_IRRELEVANT|0.3478184938430786
0|1998-06-09|I may recall that the Heads of State or Government appointed six members to the Executive Board of the ECB, including the President and the Vice-President, as from 1 June 1998, which thus constitutes the date of establishment not only of the ECB but also of the ESCB. I may also recall that on 4 June 1998 the Executive Board released a press statement announcing its 2 June 1998 decision on the distribution of responsibilities among its members for the business areas of the ECB.|1|0.043478260869565216|OTHER_IRRELEVANT|0.409233033657074
0|1998-06-09|In subsequent meetings of the Executive Board the first meetings of the Governing and the General Councils were prepared. The first meetings of both bodies were held earlier today.|2|0.08695652173913043|OTHER_IRRELEVANT|0.3036363124847412
0|1998-06-09|Further information about the members of the decision-making bodies of the ECB, about the constitution of the ESCB, about its objectives and tasks, and about its organisation has been made available in a press folder and can also be found on the ECBs Web site [section About the ECB ].|3|0.13043478260869565|OTHER_IRRELEVANT|0.344481498003006
0|1998-06-09|The General Council, which includes all fifteen EU national central bank governors, provisionally adopted its own Rules of Procedure. They will be formally approved at the next meeting of the General Council.|4|0.17391304347826086|OTHER_IRRELEVANT|0.33869844675064087
0|1998-06-09|In accordance with Article 47 of the ESCB/ECB Statute, the General Council also made a contribution to the decision-making of the Governing Council. For this reason the General Council met before the Governing Council.|5|0.21739130434782608|OTHER_IRRELEVANT|0.3482555150985718
0|1998-06-09|The contribution consisted in delivering opinions on two important institutional matters: (i) the key for the subscription of the capital of the ECB;|6|0.2608695652173913|OTHER_IRRELEVANT|0.3210580348968506
0|1998-06-09|(ii) the Conditions of Employment of ECB staff. At the end of its meeting, the General Council agreed, for the remainder of this year, to meet on 1 September 1998 and on 1 December 1998.|7|0.30434782608695654|OTHER_IRRELEVANT|0.34425675868988037
0|1998-06-09|Following the meeting of the General Council, the Governing Council met for the first time in its composition of the six members of the Executive Board and the governors of the eleven national central banks of the euro area. Mr. de Silguy participated in the meeting as a member of the European Commission; the President of the EU Council, who also has a right to attend, did not participate.|8|0.34782608695652173|OTHER_IRRELEVANT|0.33748793601989746
0|1998-06-09|The Governing Council: (i) took note of the Rules of Procedure of the European Central Bank, as proposed by the Executive Board, and will revert to them at its next meeting;|9|0.391304347826087|OTHER_IRRELEVANT|0.36763277649879456
